country,region_id,region_name,month,cpi_all_items,inflation_mtm,inflation_yoy,cpi_g01,cpi_g02,cpi_g03,cpi_g04,cpi_g05,cpi_g06,cpi_g07,cpi_g08,cpi_g09,cpi_g10,cpi_g11,inflation_mtm_g01,inflation_mtm_g02,inflation_mtm_g03,inflation_mtm_g04,inflation_mtm_g05,inflation_mtm_g06,inflation_mtm_g07,inflation_mtm_g08,inflation_mtm_g09,inflation_mtm_g10,inflation_mtm_g11,inflation_yoy_g01,inflation_yoy_g02,inflation_yoy_g03,inflation_yoy_g04,inflation_yoy_g05,inflation_yoy_g06,inflation_yoy_g07,inflation_yoy_g08,inflation_yoy_g09,inflation_yoy_g10,inflation_yoy_g11
Indonesia,BANYUWANGI,BANYUWANGI,2024-01-01,105.47,-0.02,2.44,107.96,102.54,101.65,102.26,104.35,109.31,98.56,102.98,104.36,104.74,108.38,-0.45,0.45,0.17,0.19,0.29,0.13,-0.45,1.39,0.0,0.0,0.45,4.66,1.45,-0.13,0.24,3.33,2.06,-0.59,1.33,2.11,1.52,3.61
Indonesia,BANYUWANGI,BANYUWANGI,2024-02-01,106.02,0.52,2.59,109.75,102.54,101.65,102.27,104.3,109.17,98.56,102.98,104.36,104.74,108.44,1.66,0.0,0.0,0.01,-0.05,-0.13,0.0,0.0,0.0,0.0,0.06,5.13,1.33,-0.21,0.01,3.28,2.23,-0.59,1.33,2.11,1.52,3.94
Indonesia,BANYUWANGI,BANYUWANGI,2024-03-01,106.61,0.56,2.67,111.03,103.18,101.68,102.49,104.3,109.17,98.56,103.15,104.36,104.74,109.84,1.17,0.62,0.03,0.22,0.0,0.0,0.0,0.17,0.0,0.0,1.29,5.04,1.98,-0.2,0.17,3.28,1.95,-0.59,1.5,2.11,1.37,4.88
Indonesia,BANYUWANGI,BANYUWANGI,2024-04-01,106.92,0.29,3.01,111.23,103.26,101.69,102.45,104.39,109.42,98.57,103.24,104.36,104.74,112.53,0.18,0.08,0.01,-0.04,0.09,0.23,0.01,0.09,0.0,0.0,2.45,5.78,2.14,-0.19,0.11,3.37,1.94,-0.57,1.58,2.11,0.62,6.73
Indonesia,BANYUWANGI,BANYUWANGI,2024-05-01,106.87,-0.05,2.83,110.81,103.3,101.69,102.51,104.5,109.72,98.57,103.35,104.36,104.77,112.97,-0.38,0.04,0.0,0.06,0.11,0.27,0.0,0.11,0.0,0.03,0.39,5.16,1.89,-0.19,0.13,3.48,2.19,-0.57,1.69,2.11,0.65,6.67
Indonesia,BANYUWANGI,BANYUWANGI,2024-06-01,106.61,-0.24,2.38,109.73,103.32,101.69,102.51,104.58,109.95,98.57,103.42,104.36,104.86,113.49,-0.97,0.02,0.0,0.0,0.08,0.21,0.0,0.07,0.0,0.09,0.46,3.23,1.9,-0.19,0.09,3.17,3.07,-0.57,1.76,2.11,0.74,7.54
Indonesia,BANYUWANGI,BANYUWANGI,2024-07-01,106.68,0.07,2.34,109.59,103.4,101.69,102.55,104.58,110.1,98.57,103.48,105.57,104.95,113.83,-0.13,0.08,0.0,0.04,0.0,0.14,0.0,0.06,1.16,0.09,0.3,2.83,1.92,-0.19,0.09,2.27,3.03,-0.26,1.86,3.3,0.83,8.03
Indonesia,BANYUWANGI,BANYUWANGI,2024-08-01,106.59,-0.08,2.19,108.52,103.92,101.69,102.64,104.58,110.21,98.57,103.48,107.4,104.96,115.29,-0.98,0.5,0.0,0.09,0.0,0.1,0.0,0.0,1.73,0.01,1.28,1.82,2.42,-0.19,0.21,2.16,3.13,-0.26,2.05,2.91,0.84,9.76
Indonesia,BANYUWANGI,BANYUWANGI,2024-09-01,106.46,-0.12,2.07,107.71,103.88,101.53,102.9,104.59,110.44,98.57,103.49,107.4,105.09,116.4,-0.75,-0.04,-0.16,0.25,0.01,0.21,0.0,0.01,0.0,0.12,0.96,1.64,1.75,0.13,0.68,1.59,1.99,-0.39,2.06,2.91,0.96,10.7
Indonesia,BANYUWANGI,BANYUWANGI,2024-10-01,106.74,0.26,2.12,107.85,103.88,101.38,102.99,106.94,110.26,98.3,103.47,107.4,105.26,118.9,0.13,0.0,-0.15,0.09,2.25,-0.16,-0.27,-0.02,0.0,0.16,2.15,1.4,1.78,-0.17,0.79,3.5,1.36,-0.67,2.03,2.91,0.99,13.04
Indonesia,BANYUWANGI,BANYUWANGI,2024-11-01,106.86,0.11,1.62,107.98,103.61,101.9,102.95,106.94,110.34,98.31,103.72,107.4,105.47,119.29,0.12,-0.26,0.51,-0.04,0.0,0.07,0.01,0.24,0.0,0.2,0.33,-0.14,1.43,0.37,0.78,2.92,2.06,-0.66,2.1,2.91,0.85,11.87
Indonesia,BANYUWANGI,BANYUWANGI,2024-12-01,107.32,0.43,1.73,109.43,103.39,101.9,102.96,106.94,110.49,98.37,103.8,107.4,105.47,119.22,1.34,-0.21,0.0,0.01,0.0,0.14,0.06,0.08,0.0,0.0,-0.06,0.9,1.28,0.41,0.87,2.78,1.21,-0.65,2.2,2.91,0.7,10.5
Indonesia,BANYUWANGI,BANYUWANGI,2025-01-01,107.28,-0.04,1.72,111.87,102.9,91.47,103.07,106.94,110.53,98.31,104.1,107.4,105.57,120.46,2.23,-0.47,-10.24,0.11,0.0,0.04,-0.06,0.29,0.0,0.09,1.04,3.62,0.35,-10.01,0.79,2.48,1.12,-0.25,1.09,2.91,0.79,11.15
Indonesia,BANYUWANGI,BANYUWANGI,2025-02-01,107.02,-0.24,0.94,111.52,102.75,86.42,103.3,106.93,110.73,97.82,104.1,107.4,105.57,124.23,-0.31,-0.15,-5.52,0.22,-0.01,0.18,-0.5,0.0,0.0,0.0,3.13,1.61,0.2,-14.98,1.01,2.52,1.43,-0.75,1.09,2.91,0.79,14.56
Indonesia,BANYUWANGI,BANYUWANGI,2025-03-01,108.63,1.5,1.89,113.37,102.74,94.47,104.01,106.96,111.36,97.9,104.2,107.4,105.67,126.46,1.66,-0.01,9.31,0.69,0.03,0.57,0.08,0.1,0.0,0.09,1.8,2.11,-0.43,-7.09,1.48,2.55,2.01,-0.67,1.02,2.91,0.89,15.13
